artist_name,artist_id,first_added,first_song,first_album,first_album_type,last_added,last_song,last_album,last_album_type,main_songs_count,featured_songs_count,liked_songs_count,genres_count
LISA,5L1lO4eRHmJ7a0Q6csE5cT,2021-10-22 04:34:04+00:00,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",single,2023-05-01 02:49:23+00:00,Shoong! (feat. LISA of BLACKPINK),Down to Earth,album,0,2,2,0
ILLENIUM,45eNHdiiabvmbp4erw26rg,2020-01-16 23:59:23+00:00,Good Things Fall Apart (with Jon Bellion) [Travis Barker Remix],Good Things Fall Apart (with Jon Bellion) [Travis Barker Remix],single,2023-05-01 02:45:04+00:00,Lifeline,ILLENIUM,album,12,1,13,0
Travis Barker,4exLIFE8sISLr28sqG1qNX,2019-07-18 22:51:06+00:00,11 Minutes (with Halsey feat. Travis Barker),11 Minutes (with Halsey feat. Travis Barker),single,2023-05-01 02:44:57+00:00,Eyes Wide Shut,ILLENIUM,album,5,91,96,0
The National,2cCUtGK9sDU2EoElnk0GNB,2023-05-01 02:43:07+00:00,The Alcott (feat. Taylor Swift),First Two Pages of Frankenstein,album,2023-05-01 02:43:07+00:00,The Alcott (feat. Taylor Swift),First Two Pages of Frankenstein,album,1,0,1,0
Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,2019-01-25 01:05:18+00:00,What A Time (feat. Niall Horan),Inner Monologue Part 1,single,2023-04-28 23:26:27+00:00,Meltdown,Meltdown,single,2,1,3,0
Labrinth,2feDdbD5araYcm6JhFHHw7,2019-08-01 21:26:21+00:00,Majesty (with Labrinth & feat. Eminem),Queen,album,2023-04-28 23:24:45+00:00,The Feels,Ends & Begins,album,5,2,7,0
Kim Petras,3Xt3RrJMFv5SZkCfUE8C1J,2019-09-13 19:23:51+00:00,Click (feat. Kim Petras and Tommy Cash),Charli,album,2023-04-24 17:24:23+00:00,Alone (with Nicki Minaj),Alone,single,7,1,8,0
Rodrigo y Gabriela,7vX3cMVyW8gtDA4y855ynF,2023-04-21 04:07:55+00:00,True Nature,In Between Thoughts...A New World,album,2023-04-21 04:07:55+00:00,True Nature,In Between Thoughts...A New World,album,1,0,1,0
Kim Loaiza,1QivQCLVipV61DiQiyV14A,2023-04-21 04:07:53+00:00,Kitty,Kitty,single,2023-04-21 04:07:53+00:00,Kitty,Kitty,single,1,0,1,0
redveil,5BwsX8bXOFC1YnqSlyfOKM,2022-04-22 10:57:12+00:00,pg baby,learn 2 swim,album,2023-04-21 04:07:40+00:00,captain,playing w/ fire,single,5,2,7,0
