artist_name,artist_id,first_added,first_song,first_album,first_album_type,last_added,last_song,last_album,last_album_type,main_songs_count,featured_songs_count,liked_songs_count,genres_count
9lives,2MQN1o9W3ULxdT38vj8g4Q,2023-08-23 14:02:02+00:00,BABY I'M HOME (w/ Kanii & 9lives),BABY I'M HOME (w/ Kanii & 9lives),single,2024-01-19 12:24:34+00:00,MULTIMILLIONAIRE (w/ Trippie Redd & Odetari),MULTIMILLIONAIRE (w/ Trippie Redd & Odetari),single,1,2,3,0
Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,2019-01-12 22:39:28+00:00,Love Is Hell (feat. Trippie Redd),Love Is Hell,album,2024-01-19 12:24:34+00:00,MULTIMILLIONAIRE (w/ Trippie Redd & Odetari),MULTIMILLIONAIRE (w/ Trippie Redd & Odetari),single,132,72,204,0
Odetari,7ITMCzIU9uII8gwRg8JAhc,2023-08-23 14:02:02+00:00,BABY I'M HOME (w/ Kanii & 9lives),BABY I'M HOME (w/ Kanii & 9lives),single,2024-01-19 12:24:34+00:00,MULTIMILLIONAIRE (w/ Trippie Redd & Odetari),MULTIMILLIONAIRE (w/ Trippie Redd & Odetari),single,2,1,3,0
EKKSTACY,0ynzbXwyCzxicMKHBoOkSH,2021-04-16 04:19:52+00:00,i want to be by your side,i want to be by your side (feat. herhexx),single,2024-01-19 12:24:31+00:00,alright (feat. The Kid LAROI),EKKSTACY,album,9,1,10,0
The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,2020-01-31 05:01:11+00:00,Diva (feat. Lil Tecca),Diva (feat. Lil Tecca),single,2024-01-19 12:24:31+00:00,alright (feat. The Kid LAROI),EKKSTACY,album,71,28,99,0
Joey Bada$$,2P5sC9cVZDToPxyomzF1UH,2019-04-26 10:12:53+00:00,Too Many Gods,For The Throne (Music Inspired by the HBO Series Game of Thrones),album,2024-01-19 12:24:28+00:00,Passports & Suitcases (feat. KayCyy),Passports & Suitcases (feat. KayCyy),single,20,24,44,0
KayCyy,7gmVTgaiN0gpDJKvTHPTRL,2022-03-11 05:02:28+00:00,THE SUN (Prod. Gesaffelstein),TW20 50,single,2024-01-19 12:24:28+00:00,Passports & Suitcases (feat. KayCyy),Passports & Suitcases (feat. KayCyy),single,17,3,20,0
Lyrical Lemonade,3VrGfWE8YdYMK4ySpnE0ly,2023-06-23 04:21:07+00:00,Doomsday (with Juice WRLD & Cordae),Doomsday,single,2024-01-16 03:33:59+00:00,"Fallout (with Gus Dapperton, Lil Yachty & Joey Bada$$)",Fallout,single,5,0,5,0
Gus Dapperton,6sHCvZe1PHrOAuYlwTLNH4,2020-06-07 06:51:57+00:00,Supalonely,STELLA & STEVE,single,2024-01-16 03:33:59+00:00,"Fallout (with Gus Dapperton, Lil Yachty & Joey Bada$$)",Fallout,single,1,2,3,0
Lil Yachty,6icQOAFXDZKsumw3YXyusw,2017-06-04 02:02:14+00:00,iSpy (feat. Lil Yachty),iSpy (feat. Lil Yachty),single,2024-01-16 03:33:59+00:00,"Fallout (with Gus Dapperton, Lil Yachty & Joey Bada$$)",Fallout,single,45,21,66,0
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,2016-08-31 12:28:58+00:00,On Purpose,On Purpose,single,2024-01-16 02:17:16+00:00,Nonsense,emails i can't send,album,16,1,17,0
Bizarrap,716NhGYqD1jl2wI1Qkgq36,2020-08-06 05:35:05+00:00,"Cazzu: Bzrp Music Sessions, Vol. 32","Cazzu: Bzrp Music Sessions, Vol. 32",single,2024-01-12 23:31:18+00:00,"Young Miko: Bzrp Music Sessions, Vol. 58","Young Miko: Bzrp Music Sessions, Vol. 58",single,37,16,53,0
Young Miko,3qsKSpcV3ncke3hw52JSMB,2022-09-09 04:38:28+00:00,Condado,Condado,single,2024-01-12 23:31:18+00:00,"Young Miko: Bzrp Music Sessions, Vol. 58","Young Miko: Bzrp Music Sessions, Vol. 58",single,1,16,17,0
21 Savage,1URnnhqYAYcrqrcwql10ft,2018-11-02 11:00:19+00:00,"No More (feat. Travis Scott, Kodak Black & 21 Savage)",NOT ALL HEROES WEAR CAPES,album,2024-01-12 21:20:39+00:00,dark days,american dream,album,79,76,155,0
Mariah the Scientist,7HO5fOXE4gh3lzZn64tX2E,2020-07-31 04:00:59+00:00,Always n Forever (feat. Lil Baby),Always n Forever (feat. Lil Baby),single,2024-01-12 21:20:39+00:00,dark days,american dream,album,9,4,13,0
Tommy Newport,7FvQR6QFfXmW18dyMqnHvv,2021-04-16 04:19:16+00:00,Stargazer (with EARTHGANG),Stargazer (with EARTHGANG),single,2024-01-12 21:20:37+00:00,red sky,american dream,album,1,1,2,0
Mikky Ekko,1buzCmyYZE4kcdLRudsb8V,2024-01-12 21:20:37+00:00,red sky,american dream,album,2024-01-12 21:20:37+00:00,red sky,american dream,album,0,1,1,0
Burna Boy,3wcj11K77LjEY1PkEazffa,2019-08-01 21:25:30+00:00,JA ARA E,The Lion King: The Gift,album,2024-01-12 21:20:34+00:00,just like me,american dream,album,8,6,14,0
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,2018-09-15 17:40:24+00:00,Call Me,Perfect Timing,album,2024-01-12 21:20:34+00:00,just like me,american dream,album,49,51,100,0
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,2019-08-01 21:24:17+00:00,Demonz (feat. Brent Faiyaz) - Interlude,Death Race For Love,album,2024-01-12 21:20:33+00:00,should've wore a bonnet,american dream,album,62,12,74,0
Summer Walker,57LYzLEk2LcFghVwuWbcuS,2019-09-27 04:11:01+00:00,Stretch You Out (feat. A Boogie Wit da Hoodie),Stretch You Out (feat. A Boogie Wit da Hoodie),single,2024-01-12 21:20:29+00:00,prove it,american dream,album,26,28,54,0
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,2017-06-09 10:46:39+00:00,Know No Better,Know No Better,single,2024-01-12 21:20:25+00:00,née-nah,american dream,album,80,118,198,0
Lil Durk,3hcs9uc56yIGFCSy9leWe7,2019-05-09 04:41:16+00:00,Deez Streetz (feat. Lil Durk),TrapStar Turnt PopStar (Deluxe Edition),album,2024-01-12 20:27:51+00:00,dangerous,american dream,album,55,79,134,0
Young Thug,50co4Is1HCEo8bhOyUWKpn,2016-11-30 04:24:32+00:00,The Half,Encore,album,2024-01-12 20:20:51+00:00,pop ur shit,american dream,album,50,125,175,0
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,2020-09-04 04:01:06+00:00,Del Mar,ENOC,album,2024-01-12 20:16:56+00:00,n.h.i.e.,american dream,album,13,9,22,0
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,2017-10-09 02:30:05+00:00,"All My Love - From ""The Hunger Games: Mockingjay Part 1"" Soundtrack",Die Tribute von Panem - Mockingjay Teil 1 (Original Motion Picture Soundtrack),compilation,2024-01-12 19:44:08+00:00,"yes, and?","yes, and?",single,49,11,60,0
THE DRIVER ERA,5bmqhxWk9SEFDGIzWpSjVJ,2022-12-29 23:59:13+00:00,Malibu,Malibu,single,2024-01-09 18:25:46+00:00,Malibu,Malibu,single,9,1,10,0
Ross Lynch,4UxLFBvSr4xMDpHe1lrLrH,2022-12-29 23:55:42+00:00,On My Own,Teen Beach 2 (Original TV Movie Soundtrack),compilation,2024-01-09 18:25:46+00:00,Malibu,Malibu,single,6,8,14,0
Rocky,542yUd4rGzUEOLd1diV94f,2022-12-29 23:59:13+00:00,Malibu,Malibu,single,2024-01-09 18:25:46+00:00,Malibu,Malibu,single,0,7,7,0
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,2018-04-19 15:11:02+00:00,Try Me,"My Dear Melancholy,",single,2024-01-06 00:13:23+00:00,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),single,135,44,179,0
JENNIE,250b0Wlc5Vk0CoUsaCY84M,2024-01-06 00:13:23+00:00,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),single,2024-01-06 00:13:23+00:00,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),single,0,1,1,0
Lily-Rose Depp,1pBLC0qVRTB5zVMuteQ9jJ,2024-01-06 00:13:23+00:00,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),single,2024-01-06 00:13:23+00:00,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),single,0,1,1,0
KAROL G,790FomKkXshlbRYZFtlgla,2019-01-05 04:24:53+00:00,Créeme,Créeme,single,2024-01-05 23:57:38+00:00,QLONA,MAÑANA SERÁ BONITO (BICHOTA SEASON),album,67,21,88,0
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,2023-04-21 04:05:49+00:00,Rosa Pastel,Rosa Pastel,single,2024-01-05 23:57:38+00:00,QLONA,MAÑANA SERÁ BONITO (BICHOTA SEASON),album,1,5,6,0
H.E.R.,3Y7RZ31TRPVadSFVy1o8os,2018-10-14 15:24:01+00:00,Could've Been (feat. Bryson Tiller),I Used To Know Her: The Prelude,single,2024-01-02 16:23:16+00:00,Slide,Back of My Mind,album,20,19,39,0
YG,0A0FS04o6zMoto8OKPsDwY,2019-08-01 21:23:22+00:00,"Go Loko (feat. Tyga, Jon Z)",4REAL 4REAL,album,2024-01-02 16:23:16+00:00,Slide,Back of My Mind,album,9,17,26,0
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2016-10-05 00:11:28+00:00,This Is What You Came For,This Is What You Came For,single,2024-01-01 22:34:23+00:00,We Found Love,Talk That Talk,album,8,9,17,0
Calvin Harris,7CajNmpbOovFoOoasH2HaY,2016-10-05 00:11:28+00:00,This Is What You Came For,This Is What You Came For,single,2024-01-01 22:34:23+00:00,We Found Love,Talk That Talk,album,22,6,28,0
Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,2019-01-12 22:40:17+00:00,For You (feat. Tory Lanez & G-Eazy),Love Is Hell,album,2024-01-01 19:07:34+00:00,Lady Of Namek,Alone At Prom,album,68,30,98,0
Soge Culebra,2SNfNJDsahTSVFwgxposF5,2023-11-21 04:19:54+00:00,NO PIENSO LLAMAR,NO PIENSO LLAMAR,single,2024-01-01 17:54:59+00:00,7 Lágrimas - Remix,7 Lágrimas (Remix),single,2,0,2,0
Mora,0Q8NcsJwoCbZOHHW63su5S,2020-02-29 04:15:42+00:00,Una Vez,YHLQMDLG,album,2024-01-01 17:54:59+00:00,7 Lágrimas - Remix,7 Lágrimas (Remix),single,70,25,95,0
GARABATTO,6JaOGIlSvYswVLPmGUheOO,2023-11-21 04:19:54+00:00,NO PIENSO LLAMAR,NO PIENSO LLAMAR,single,2024-01-01 17:54:59+00:00,7 Lágrimas - Remix,7 Lágrimas (Remix),single,0,2,2,0
Yoko Gold,24WdRSLiIlFrqK2FqxGLVm,2023-09-30 03:14:11+00:00,Hurts Me,Hurts Me,single,2024-01-01 17:40:19+00:00,Hurts Me,Alone at Prom (Deluxe),album,0,2,2,0
JID,6U3ybJ9UHNKEdsH7ktGBZ7,2019-01-08 12:25:54+00:00,Tiiied (feat. 6LACK & Ella Mai),DiCaprio 2,album,2024-01-01 05:28:49+00:00,Can’t Make U Change (feat. Ari Lennox),The Forever Story (Extended Version),album,56,70,126,0
Ari Lennox,1vaQ6v3pOFxAIrFoPrAcom,2019-06-13 02:23:44+00:00,"Got Me (feat. Ari Lennox, Omen, Ty Dolla $ign & Dreezy)",1-888-88-DREAM,single,2024-01-01 05:28:49+00:00,Can’t Make U Change (feat. Ari Lennox),The Forever Story (Extended Version),album,9,23,32,0
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,2017-05-07 06:50:29+00:00,Run Up,Run Up,single,2024-01-01 04:13:14+00:00,Everybody (feat. Lil Uzi Vert),Pink Friday 2,album,32,42,74,0
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,2018-10-09 03:22:07+00:00,Multi Millionaire (feat. Lil Uzi Vert),Multi Millionaire (feat. Lil Uzi Vert),single,2024-01-01 04:13:14+00:00,Everybody (feat. Lil Uzi Vert),Pink Friday 2,album,152,131,283,0
Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,2019-08-01 21:24:45+00:00,Calma - Alicia Remix,Gangalee,album,2024-01-01 04:09:41+00:00,You Don't Know My Name,The Diary Of Alicia Keys,album,16,6,22,0
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,2021-07-02 23:36:16+00:00,Tearin' up My Heart - Radio Edit,'N Sync UK Version,album,2024-01-01 04:08:07+00:00,Better Place (Reunion),TROLLS Band Together (Original Motion Picture Soundtrack),album,2,0,2,0
Eric Andre,65b4bZsoMS43PhlilVEzke,2023-12-12 21:09:24+00:00,Better Place (Family Harmony),TROLLS Band Together (Original Motion Picture Soundtrack),album,2024-01-01 04:08:07+00:00,Better Place (Reunion),TROLLS Band Together (Original Motion Picture Soundtrack),album,0,4,4,0
Daveed Diggs,3twuAojvYNrlWZpMkxLm3P,2023-12-12 21:09:24+00:00,Better Place (Family Harmony),TROLLS Band Together (Original Motion Picture Soundtrack),album,2024-01-01 04:08:07+00:00,Better Place (Reunion),TROLLS Band Together (Original Motion Picture Soundtrack),album,0,4,4,0
Troye Sivan,3WGpXCj9YhhfX11TToZcXP,2019-08-01 21:25:06+00:00,i'm so tired...,i'm so tired...,single,2024-01-01 04:08:07+00:00,Better Place (Reunion),TROLLS Band Together (Original Motion Picture Soundtrack),album,12,7,19,0
Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,2019-08-01 21:24:07+00:00,Dangerous (feat. Kid Cudi),CrasH Talk,album,2024-01-01 04:08:07+00:00,Better Place (Reunion),TROLLS Band Together (Original Motion Picture Soundtrack),album,40,24,64,0
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,2017-06-09 10:46:39+00:00,Know No Better,Know No Better,single,2024-01-01 04:08:04+00:00,It Takes Two,TROLLS Band Together (Original Motion Picture Soundtrack),album,37,13,50,0
Anna Kendrick,6xfqnpe2HnLVUaYXs2F8YS,2023-12-12 21:09:24+00:00,Better Place (Family Harmony),TROLLS Band Together (Original Motion Picture Soundtrack),album,2024-01-01 04:08:04+00:00,It Takes Two,TROLLS Band Together (Original Motion Picture Soundtrack),album,1,3,4,0
Justin Timberlake,31TPClRtHm23RisEBtV3X7,2022-07-15 13:44:26+00:00,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Stay With Me (with Justin Timberlake, Halsey, & Pharrell)",single,2024-01-01 04:08:04+00:00,It Takes Two,TROLLS Band Together (Original Motion Picture Soundtrack),album,2,5,7,0
Mac Miller,4LLpKhyESsyAXpc4laK94U,2020-01-10 04:01:02+00:00,Good News,Good News,single,2024-01-01 02:04:15+00:00,Dang! (feat. Anderson .Paak),The Divine Feminine,album,24,6,30,0
Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,2019-08-01 21:23:46+00:00,Bloody Waters (with Anderson .Paak & James Blake),Black Panther The Album Music From And Inspired By,album,2024-01-01 02:04:15+00:00,Dang! (feat. Anderson .Paak),The Divine Feminine,album,5,50,55,0
Baby Tate,3IJ21966TwNZI24MwZHMu4,2019-08-01 21:26:28+00:00,"Don't Hit Me Right Now (with Bas & Cozz feat. Yung Baby Tate, Guapdad 4000 & Buddy)",Revenge Of The Dreamers III,album,2024-01-01 01:51:03+00:00,Surround Sound (feat. 21 Savage & Baby Tate),The Forever Story (Extended Version),album,1,7,8,0
Connor Price,5zixe6AbgXPqt4c1uSl94L,2023-12-30 19:32:26+00:00,Million Cash,Million Cash,single,2023-12-30 19:32:26+00:00,Million Cash,Million Cash,single,1,0,1,0
Armani White,2qAwMsiIjTzlmfAkXKvhVA,2023-12-30 19:32:26+00:00,Million Cash,Million Cash,single,2023-12-30 19:32:26+00:00,Million Cash,Million Cash,single,0,1,1,0
Tim Atlas,3CiuXDKttPUT0tWGHicFUH,2023-12-30 19:32:00+00:00,Lifeboat,Lifeboat,single,2023-12-30 19:32:00+00:00,Lifeboat,Lifeboat,single,1,0,1,0
Raphael Futura,2taFLpsy0M58c9GE5vjnsb,2023-12-30 19:32:00+00:00,Lifeboat,Lifeboat,single,2023-12-30 19:32:00+00:00,Lifeboat,Lifeboat,single,0,1,1,0
Katelyn Tarver,6i8Tae6takoQos2JZ4vdRn,2020-08-07 04:17:14+00:00,So Would I,So Would I,single,2023-12-30 19:31:47+00:00,Japanese Cafe,Japanese Cafe,single,2,0,2,0
BNH Deluxe,7K33JG8IUdLFk0kaQL2BeN,2023-12-30 19:31:11+00:00,on the go,on the go,single,2023-12-30 19:31:11+00:00,on the go,on the go,single,1,0,1,0
Lofuu,5IcCbEFuuiZsdz4kONiHdz,2023-12-30 19:31:11+00:00,on the go,on the go,single,2023-12-30 19:31:11+00:00,on the go,on the go,single,0,1,1,0
Shiloh Dynasty,1wxPItEzr7U7rGSMPqZ25r,2019-08-19 11:37:25+00:00,Just a Another Day,Memories Never Die,album,2023-12-30 19:31:11+00:00,on the go,on the go,single,1,4,5,0
Saiko,2O8vbr4RYPpk6MRA4fio7u,2023-06-08 22:55:38+00:00,POLARIS - Remix,POLARIS (Remix),single,2023-12-28 05:13:25+00:00,Extasisssssss,Saliendo del Planeta,album,11,3,14,0
Yandel,0eHQ9o50hj6ZDNBt6Ys1sD,2019-08-01 21:23:34+00:00,Quiero Mas,Aura,album,2023-12-28 05:11:43+00:00,CORLEONE,Saliendo del Planeta,album,8,21,29,0
paopao,5AS4y4rlmbUYDCdg35qmI9,2022-10-11 03:24:24+00:00,algo así (remix),algo así (remix),single,2023-12-28 05:11:27+00:00,gatx,diamante$ + espina$,album,13,2,15,0
Ingratax,62YF0FglEltB3CnVIjoko8,2022-08-19 04:00:48+00:00,Medio Crazy Remix,Medio Crazy Remix,single,2023-12-28 05:08:28+00:00,cuenta (remix),diamante$ + espina$,album,0,2,2,0
FMK,0dUyjgCyjfj5eMx6bX2TWf,2021-04-16 19:23:43+00:00,Esta Noche (feat. Big One),Esta Noche (feat. Big One),single,2023-12-28 05:08:28+00:00,cuenta (remix),diamante$ + espina$,album,2,5,7,0
Dalex,0KPX4Ucy9dk82uj4GpKesn,2019-08-01 21:23:59+00:00,Se Te Olvidé,Climaxxx,album,2023-12-28 04:46:30+00:00,ea diache,diamante$ + espina$,album,56,53,109,0
ROBI,6ISKc7ev3V4EGnEagkXexc,2022-04-30 15:32:11+00:00,"3 Deseos Remix (with Dalex & Eix, feat. Alejo)","3 Deseos Remix (with Dalex & Eix, feat. Alejo)",single,2023-12-28 04:46:28+00:00,diablo,diamante$ + espina$,album,1,1,2,0
Empire of the Sun,67hb7towEyKvt5Z8Bx306c,2020-11-18 07:16:50+00:00,The Thrill,The Thrill,single,2023-12-27 22:40:52+00:00,Walking On A Dream,Walking On A Dream,album,1,1,2,0
The Jackson 5,2iE18Oxc8YSumAU232n4rW,2023-12-27 22:40:50+00:00,I Want You Back,Diana Ross Presents The Jackson 5,album,2023-12-27 22:40:50+00:00,I Want You Back,Diana Ross Presents The Jackson 5,album,1,0,1,0
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,2019-08-20 01:20:08+00:00,"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)","RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",single,2023-12-27 22:40:46+00:00,Lost,channel ORANGE,album,17,6,23,0
Thundercat,4frXpPxQQZwbCu3eTGnZEw,2019-08-01 21:27:16+00:00,Wesley's Theory,To Pimp A Butterfly,album,2023-12-27 22:40:45+00:00,Funny Thing,It Is What It Is,album,2,8,10,0
Baby Keem,5SXuuuRpukkTvsLuUknva1,2020-09-18 04:02:39+00:00,hooligan,hooligan / sons & critics,single,2023-12-26 05:47:07+00:00,The Hillbillies,The Hillbillies,single,61,3,64,0
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,2019-04-24 02:12:12+00:00,Freedom (feat. Kendrick Lamar),Lemonade,album,2023-12-26 05:47:07+00:00,The Hillbillies,The Hillbillies,single,113,32,145,0
Landon Cube,04ei5kNgmDuNAydFhhIHnD,2019-08-01 21:25:27+00:00,Nowadays (feat. Landon Cube),Life of a Dark Rose,album,2023-12-26 05:39:51+00:00,Marigold,Marigold,single,32,11,43,0
Kota the Friend,2AfU5LYBVCiCtuCCfM7uVX,2020-01-08 21:15:00+00:00,Colorado,Colorado,single,2023-12-26 05:39:42+00:00,Oregon,Oregon,single,37,14,51,0
Disco Lines,5Kmr0b3ip8g9P2i0dLTC3Z,2023-12-26 05:39:16+00:00,Peace of Mind,Peace of Mind,single,2023-12-26 05:39:16+00:00,Peace of Mind,Peace of Mind,single,1,0,1,0
Ship Wrek,1ic0FHNGIjXZAWH6O6Reif,2022-06-10 04:04:13+00:00,The Fall,So Far So Good (+ The Fall),album,2023-12-26 05:39:16+00:00,Peace of Mind,Peace of Mind,single,0,4,4,0
Daya,6Dd3NScHWwnW6obMFbl1BH,2016-08-30 23:00:09+00:00,Legendary,Daya,single,2023-12-26 05:39:16+00:00,Peace of Mind,Peace of Mind,single,14,4,18,0
Conway the Machine,67gqUXxHedeUGDTxwBzdjS,2020-12-16 23:00:05+00:00,Russian Roulette (feat. Benny The Butcher & Conway The Machine),Funeral (Deluxe),album,2023-12-26 05:39:04+00:00,Gaspare,Palermo,album,6,4,10,0
Wun Two,69cjjIQEN8M6heOBT2SqZE,2023-12-26 05:39:04+00:00,Gaspare,Palermo,album,2023-12-26 05:39:04+00:00,Gaspare,Palermo,album,0,1,1,0
Goosebytheway,7Lbpx0EuKekUdtfDuNStfh,2023-12-26 05:39:04+00:00,Gaspare,Palermo,album,2023-12-26 05:39:04+00:00,Gaspare,Palermo,album,0,1,1,0
Fantasia,7xAcVHPiirnUqfdqo0USb1,2023-12-26 05:00:22+00:00,When I See U,Fantasia,album,2023-12-26 05:00:22+00:00,When I See U,Fantasia,album,1,0,1,0
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,2019-08-01 21:23:58+00:00,What's Free (feat. Rick Ross & Jay Z),Championships,album,2023-12-26 04:55:13+00:00,Umbrella,Good Girl Gone Bad: Reloaded,album,2,17,19,0
Ne-Yo,21E3waRsmPlU7jZsS13rcj,2019-08-01 21:24:12+00:00,top priority (with Ne-Yo),cybersex,album,2023-12-26 04:49:23+00:00,Miss Independent,Year Of The Gentleman (Bonus Track Edition),album,7,3,10,0
Tony! Toni! Toné!,7vWlb4pM85jCHvV771qZZW,2023-12-26 04:46:06+00:00,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),The Diary Of Alicia Keys 20,album,2023-12-26 04:46:06+00:00,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),The Diary Of Alicia Keys 20,album,0,1,1,0
Jermaine Paul,302jOsgU7aZW71XhLem57k,2023-12-26 04:46:06+00:00,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),The Diary Of Alicia Keys 20,album,2023-12-26 04:46:06+00:00,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),The Diary Of Alicia Keys 20,album,0,1,1,0
Sampha,2WoVwexZuODvclzULjPQtm,2020-09-04 04:11:34+00:00,Walking Flames,Walking Flames,single,2023-12-26 04:00:54+00:00,Stereo Colour Cloud (Shaman's Dream),Lahai,album,3,6,9,0
Russ,1z7b1Pr1rSlvWRzsW3HOrS,2020-02-21 05:14:14+00:00,The Way,A Love Letter To You 4 (Deluxe),album,2023-12-22 07:54:53+00:00,Said It Freestyle,Said It Freestyle,single,39,7,46,0
Wizkid,3tVQdUvClmAT7URs9V3rsp,2018-10-27 16:40:33+00:00,Checklist (with Calvin Harris) (feat. Wizkid),Normani x Calvin Harris,single,2023-12-22 07:10:19+00:00,Ololufe (feat. Wande Coal),S2,single,10,15,25,0
Wande Coal,1fYVmAFB7sC7eDoF3mJXla,2022-07-29 01:47:56+00:00,Kenkele,Kenkele,single,2023-12-22 07:10:19+00:00,Ololufe (feat. Wande Coal),S2,single,0,2,2,0
Jimin,1oSPZhvZMIrWW5I41kPkkY,2023-01-20 05:02:23+00:00,VIBE (feat. Jimin of BTS),VIBE (feat. Jimin of BTS),single,2023-12-22 07:06:41+00:00,Closer Than This,Closer Than This,single,1,1,2,0
Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,2019-06-11 12:53:52+00:00,Pa$to,Pa$to,single,2023-12-21 16:52:30+00:00,Stressed (feat. Summer Walker),222,album,57,38,95,0
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,2022-02-11 05:26:17+00:00,Stay Alive (Prod. SUGA of BTS),Stay Alive (Prod. SUGA of BTS),single,2023-12-21 01:34:45+00:00,Standing Next to You (Usher Remix),Standing Next to You (Usher Remix),single,11,2,13,0
USHER,23zg3TcAtWQy7J6upgbUnj,2019-10-04 04:09:46+00:00,Come Thru (with Usher),Over It,album,2023-12-21 01:34:45+00:00,Standing Next to You (Usher Remix),Standing Next to You (Usher Remix),single,3,7,10,0
Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,2019-08-01 21:23:59+00:00,Vuelva A Ver - Remix,Climaxxx,album,2023-12-19 21:17:44+00:00,Tinieblas,Saliendo del Planeta,single,11,48,59,0
Raul Clyde,2PAyYzUdafG4mFFp6Rynsk,2023-12-19 21:17:44+00:00,Tinieblas,Saliendo del Planeta,single,2023-12-19 21:17:44+00:00,Tinieblas,Saliendo del Planeta,single,0,1,1,0
Tate McRae,45dkTj5sMRSjrmBSBeiHym,2020-05-08 21:59:39+00:00,you broke me first,you broke me first,single,2023-12-19 05:22:13+00:00,guilty conscience,THINK LATER,album,47,5,52,0
Cybertrash,6qKNO74t6cNcytBKSunEcW,2022-12-09 09:02:59+00:00,with u,with u,single,2023-12-19 04:53:26+00:00,BOUND 2 U,BOUND 2 U,single,2,0,2,0
Logic,4xRYI6VqpkE3UwrDrAZL8L,2019-01-20 04:40:34+00:00,Keanu Reeves,Keanu Reeves,single,2023-12-19 04:51:35+00:00,Intergalactic Icons,Intergalactic Icons,single,53,6,59,0
Riff Raff,31IZdHrCZ5pRhLz4zBxN3o,2019-08-01 21:24:12+00:00,candayapple (feat. Paul Wall & RiFF RAFF),cybersex,album,2023-12-19 04:51:35+00:00,Intergalactic Icons,Intergalactic Icons,single,0,3,3,0
Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,2019-08-01 21:25:15+00:00,It's You,It's You,single,2023-12-19 02:21:41+00:00,Trying,Trying,single,22,3,25,0
skaiwater,1URVdcNYXigvk6Dj0fHYOM,2022-10-28 04:00:14+00:00,miles (feat. Lil Uzi Vert),miles,single,2023-12-19 01:57:22+00:00,light (with 9lives & midwxst),light (with 9lives & midwxst),single,3,2,5,0
midwxst,7CGSp2GbiOpLPSq61qjxf8,2021-03-26 04:41:01+00:00,Smile,SUMMER03,album,2023-12-19 01:57:22+00:00,light (with 9lives & midwxst),light (with 9lives & midwxst),single,47,10,57,0
Omarion,0f5nVCcR06GX8Qikz0COtT,2019-08-01 21:26:49+00:00,Bria's Interlude (feat. Omarion),So Far Gone,album,2023-12-19 01:56:13+00:00,Taking Off,Full Circle: Sonic Book Two,album,2,1,3,0
BJRNCK,75CB9gAqPzqMGNHxymmxfg,2023-12-19 01:56:13+00:00,Taking Off,Full Circle: Sonic Book Two,album,2023-12-19 01:56:13+00:00,Taking Off,Full Circle: Sonic Book Two,album,0,1,1,0
Bas,70gP6Ry4Uo0Yx6uzPIdaiJ,2019-06-13 02:23:44+00:00,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",1-888-88-DREAM,single,2023-12-19 01:54:36+00:00,Home Alone (with J. Cole),We Only Talk About Real Shit When We're Fucked Up,album,8,21,29,0
